nome,telefone,telefone_formatado,já_foi_abordado
Dr. Daniel Facó - Cirurgião Buco Maxilo Facial,(85) 3224-6451 ,558532246451,Não
Centro de Cirurgia e Traumatologia Bucomaxilofacial,(85) 98576-6449 ,5585985766449,Não
Prof. Dr. Nicolau Feitosa Babadopulos - REABILITEFACE - Centro de Cirurgia e Reabilitação Bucomaxilofacial,(85) 98181-4315 ,5585981814315,Não
Pricilla Jacele - Fisioterapia Buco Maxilo Facial,(85) 98765-2095 ,5585987652095,Não
MONT'ALVERNE BUCOMAXILOFACIAL,(85) 3486-6290 ,558534866290,Não
Dra. Bárbara Carneiro - Cirurgiã Bucomaxilofacial | Implantodontia,(85) 98426-0922 ,5585984260922,Não
Dra. Tallyta Carneiro - Fisioterapia Bucomaxilofacial,(85) 99793-7301 ,5585997937301,Não
Dra. Maíra Viana Fisioterapia Bucomaxilofacial,(85) 99908-0199 ,5585999080199,Não
Cirurgia Buco Maxilo Facial,(85) 99816-2118,5585998162118,Não
Lumini Odontologia,(85) 3224-2606 ,558532242606,Não
Dr. Max Amorim - Cirurgia e Traumatologia Bucomaxilofacial,(85) 99919-9094 ,5585999199094,Não
Lafayette Dent & Saúde,(85) 98708-3900 ,5585987083900,Não
Clínica Rios,(85) 99772-5842 ,5585997725842,Não
Cirurgia Bucomaxilofacial Hospital Monte Klinikum,(85) 99646-0333 ,5585996460333,Não
Cimo - Centro Integrado de Medicina e Odontologia,(85) 3035-6725 ,558530356725,Não
Dr Paulo Jose Rodrigues,(85) 98549-9856 ,5585985499856,Não
Clínica Bruna Carvalho,(85) 98457-9919 ,5585984579919,Não
Dra. Luara Neves,(85) 99144-0660 ,5585991440660,Não
Dentista Do Povo,(85) 98689-0974 ,5585986890974,Não
"Dr. Roberto Rêgo, Cirurgião Buco-Maxilo-Facial",(85) 98895-2060 ,5585988952060,Não
Odonto Dentistas,(85) 98893-9173 ,5585988939173,Não
Clínica Ortho Cirúrgica - Dr Nonato Maia Cirurgião Bucomaxilofacial,(85) 98765-6395 ,5585987656395,Não
Buco - Maxilo - Facial do Hospital Batista,(85) 99103-8259 ,5585991038259,Não
