nome,instagram,já_foi_abordado
dra.mariliaalencar,https://www.instagram.com/dra.mariliaalencar/,Sim
andrebucomaxilo,https://www.instagram.com/andrebucomaxilo/,Sim
mariafboldrin,https://www.instagram.com/mariafboldrin/,Sim
dr.victordrummond,https://www.instagram.com/dr.victordrummond/,Sim
dradanielaalvarenga_,https://www.instagram.com/dradanielaalvarenga_/,Sim
reginademelloendodontista,https://www.instagram.com/reginademelloendodontista/,Sim
drapaulabsmarques,https://www.instagram.com/drapaulabsmarques/,Sim
dravictoriamota_,https://www.instagram.com/dravictoriamota_/,Sim
tamara_santos_rezende,https://www.instagram.com/tamara_santos_rezende/,Sim
odontoexcellenceitba,https://www.instagram.com/odontoexcellenceitba/,Sim
dranathaliasouto,https://www.instagram.com/dranathaliasouto/,Sim
dentistahyrlainy,https://www.instagram.com/dentistahyrlainy/,Sim
ilumineodontoiguaiba,https://www.instagram.com/ilumineodontoiguaiba/,Sim
odontocompany_pacodolumiar,https://www.instagram.com/odontocompany_pacodolumiar/,Sim
maissorrisosma,https://www.instagram.com/maissorrisosma/,Sim
ilumine_clinicap,https://www.instagram.com/ilumine_clinicap/,Sim
studioorale.dourados,https://www.instagram.com/studioorale.dourados/,Sim
oral.lifeodontologia,https://www.instagram.com/oral.lifeodontologia/,Sim
dramaria_morais,https://www.instagram.com/dramaria_morais/,Sim
casadoartesaobalsasma,https://www.instagram.com/casadoartesaobalsasma/,Sim
thaismachadooc,https://www.instagram.com/thaismachadooc/,Sim
mafepersonalizados.bls,https://www.instagram.com/mafepersonalizados.bls/,Sim
visualgrafbls,https://www.instagram.com/visualgrafbls/,Sim
maiscentromedicobalsas,https://www.instagram.com/maiscentromedicobalsas/,Sim
realizeclinica_,https://www.instagram.com/realizeclinica_/,Sim
drbenitocosta,https://www.instagram.com/drbenitocosta/,Sim
escolaharmonica,https://www.instagram.com/escolaharmonica/,Sim
cobbalsas,https://www.instagram.com/cobbalsas/,Sim
complexo.primefit,https://www.instagram.com/complexo.primefit/,Sim
thiagomaiaimplantes,https://www.instagram.com/thiagomaiaimplantes/,Sim
clear_odontologiapa,https://www.instagram.com/clear_odontologiapa/,Sim
dra.carolinecaldeira,https://www.instagram.com/dra.carolinecaldeira/,Sim
oralfybelem,https://www.instagram.com/oralfybelem/,Sim
consultoriodrmychaelmelquiades,https://www.instagram.com/consultoriodrmychaelmelquiades/,Sim
isabelabvneves,https://www.instagram.com/isabelabvneves/,Sim
ortoeimplantebelem,https://www.instagram.com/ortoeimplantebelem/,Sim
clinica_mg_pa,https://www.instagram.com/clinica_mg_pa/,Sim
clinicodonto_balsas,https://www.instagram.com/clinicodonto_balsas/,Sim
clinicasorriabalsas,https://www.instagram.com/clinicasorriabalsas/,Sim
coibalsas,https://www.instagram.com/coibalsas/,Sim
odontoexcellencebalsas,https://www.instagram.com/odontoexcellencebalsas/,Sim
plumeclinic,https://www.instagram.com/plumeclinic/,Sim
sorrisoamaisbalsas,https://www.instagram.com/sorrisoamaisbalsas/,Sim
maissaudeerv,https://www.instagram.com/maissaudeerv/,Sim
melhoreodontologia,https://www.instagram.com/melhoreodontologia/,Sim
draannaodontologia,https://www.instagram.com/draannaodontologia/,Sim
melhorsorriso_odontologia,https://www.instagram.com/melhorsorriso_odontologia/,Sim
lumie.odontologia,https://www.instagram.com/lumie.odontologia/,Sim
lifeodontologiarv,https://www.instagram.com/lifeodontologiarv/,Sim
essencial.odonto.rv,https://www.instagram.com/essencial.odonto.rv/,Sim
saluteodontologia,https://www.instagram.com/saluteodontologia/,Sim
jlodontoespe,https://www.instagram.com/jlodontoespe/,Sim
